split,track_id,profile,duration_sec,n_total_events_track,event_density_per_sec,class_name,threshold,threshold_mode,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms
TEST,test_basic_groove_000051_111bpm,basic_groove,3.73,12,3.2171581769436997,T16,0.04,global,1,0,0,1.0,1.0,1.0,15.333000000000041,15.333000000000041,15.333000000000041
TEST,test_basic_groove_000056_102bpm,basic_groove,4.12,12,2.912621359223301,KD,0.04,global,2,5,2,0.2857142857142857,0.5,0.36363636363636365,7.124999999999993,7.124999999999993,12.824999999999987
TEST,test_basic_groove_000056_102bpm,basic_groove,4.12,12,2.912621359223301,SD,0.04,global,4,1,1,0.8,0.8,0.8000000000000002,16.33324999999991,12.45850000000004,30.333199999999774
TEST,test_basic_groove_000056_102bpm,basic_groove,4.12,12,2.912621359223301,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000056_102bpm,basic_groove,4.12,12,2.912621359223301,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000056_102bpm,basic_groove,4.12,12,2.912621359223301,T16,0.04,global,1,0,0,1.0,1.0,1.0,47.16699999999996,47.16699999999996,47.16699999999996
TEST,test_basic_groove_000057_105bpm,basic_groove,4.05,11,2.7160493827160495,KD,0.04,global,2,3,2,0.4,0.5,0.4444444444444445,7.041500000000006,7.041500000000006,12.674700000000012
TEST,test_basic_groove_000057_105bpm,basic_groove,4.05,11,2.7160493827160495,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,12.291500000000122,12.291500000000122,18.25830000000015
TEST,test_basic_groove_000057_105bpm,basic_groove,4.05,11,2.7160493827160495,T12,0.04,global,1,0,0,1.0,1.0,1.0,9.58300000000012,9.58300000000012,9.58300000000012
TEST,test_basic_groove_000057_105bpm,basic_groove,4.05,11,2.7160493827160495,T14,0.04,global,1,0,0,1.0,1.0,1.0,20.499999999999964,20.499999999999964,20.499999999999964
TEST,test_basic_groove_000057_105bpm,basic_groove,4.05,11,2.7160493827160495,T16,0.04,global,1,0,0,1.0,1.0,1.0,9.916999999999954,9.916999999999954,9.916999999999954
TEST,test_basic_groove_000059_93bpm,basic_groove,4.23,10,2.3640661938534278,KD,0.04,global,3,2,0,0.6,1.0,0.7499999999999999,9.305333333333268,7.582999999999895,17.182999999999904
TEST,test_basic_groove_000059_93bpm,basic_groove,4.23,10,2.3640661938534278,SD,0.04,global,2,0,2,1.0,0.5,0.6666666666666666,17.208499999999848,17.208499999999848,18.175299999999893
TEST,test_basic_groove_000059_93bpm,basic_groove,4.23,10,2.3640661938534278,T12,0.04,global,1,0,0,1.0,1.0,1.0,0.8330000000000837,0.8330000000000837,0.8330000000000837
TEST,test_basic_groove_000059_93bpm,basic_groove,4.23,10,2.3640661938534278,T14,0.04,global,1,0,0,1.0,1.0,1.0,18.750000000000043,18.750000000000043,18.750000000000043
TEST,test_basic_groove_000059_93bpm,basic_groove,4.23,10,2.3640661938534278,T16,0.04,global,0,2,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000060_113bpm,basic_groove,3.96,11,2.7777777777777777,KD,0.04,global,3,1,1,0.75,0.75,0.75,27.999999999999996,39.75000000000017,43.149999999999885
TEST,test_basic_groove_000060_113bpm,basic_groove,3.96,11,2.7777777777777777,SD,0.04,global,2,0,2,1.0,0.5,0.6666666666666666,5.292000000000074,5.292000000000074,8.992000000000155
TEST,test_basic_groove_000060_113bpm,basic_groove,3.96,11,2.7777777777777777,T12,0.04,global,1,0,0,1.0,1.0,1.0,3.74999999999992,3.74999999999992,3.74999999999992
TEST,test_basic_groove_000060_113bpm,basic_groove,3.96,11,2.7777777777777777,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000060_113bpm,basic_groove,3.96,11,2.7777777777777777,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000061_110bpm,basic_groove,3.89,12,3.0848329048843186,KD,0.04,global,4,3,0,0.5714285714285714,1.0,0.7272727272727273,23.62524999999993,23.41699999999991,40.76699999999993
TEST,test_basic_groove_000061_110bpm,basic_groove,3.89,12,3.0848329048843186,SD,0.04,global,2,0,2,1.0,0.5,0.6666666666666666,6.416499999999909,6.416499999999909,11.483299999999836
TEST,test_basic_groove_000061_110bpm,basic_groove,3.89,12,3.0848329048843186,T12,0.04,global,2,0,0,1.0,1.0,1.0,15.791999999999916,15.791999999999916,18.49199999999993
TEST,test_basic_groove_000061_110bpm,basic_groove,3.89,12,3.0848329048843186,T14,0.04,global,1,1,0,0.5,1.0,0.6666666666666666,41.6669999999999,41.6669999999999,41.6669999999999
TEST,test_basic_groove_000061_110bpm,basic_groove,3.89,12,3.0848329048843186,T16,0.04,global,1,0,0,1.0,1.0,1.0,12.916999999999845,12.916999999999845,12.916999999999845
TEST,test_basic_groove_000062_110bpm,basic_groove,4.02,12,2.985074626865672,KD,0.04,global,4,1,0,0.8,1.0,0.888888888888889,18.437249999999988,16.332999999999984,36.05799999999997
TEST,test_basic_groove_000062_110bpm,basic_groove,4.02,12,2.985074626865672,SD,0.04,global,2,2,2,0.5,0.5,0.5,9.124999999999828,9.124999999999828,13.158599999999998
TEST,test_basic_groove_000062_110bpm,basic_groove,4.02,12,2.985074626865672,T12,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000062_110bpm,basic_groove,4.02,12,2.985074626865672,T14,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,25.666999999999884,25.666999999999884,25.666999999999884
TEST,test_basic_groove_000062_110bpm,basic_groove,4.02,12,2.985074626865672,T16,0.04,global,1,0,0,1.0,1.0,1.0,25.416999999999803,25.416999999999803,25.416999999999803
TEST,test_basic_groove_000067_90bpm,basic_groove,4.46,12,2.690582959641256,KD,0.04,global,4,4,1,0.5,0.8,0.6153846153846154,5.166750000000032,5.292000000000074,9.000100000000023
TEST,test_basic_groove_000067_90bpm,basic_groove,4.46,12,2.690582959641256,SD,0.04,global,0,3,4,0.0,0.0,0.0,,,
TEST,test_basic_groove_000067_90bpm,basic_groove,4.46,12,2.690582959641256,T12,0.04,global,1,0,0,1.0,1.0,1.0,6.999999999999895,6.999999999999895,6.999999999999895
TEST,test_basic_groove_000067_90bpm,basic_groove,4.46,12,2.690582959641256,T14,0.04,global,1,0,0,1.0,1.0,1.0,24.249999999999883,24.249999999999883,24.249999999999883
TEST,test_basic_groove_000067_90bpm,basic_groove,4.46,12,2.690582959641256,T16,0.04,global,1,0,0,1.0,1.0,1.0,14.082999999999846,14.082999999999846,14.082999999999846
TEST,test_basic_groove_000070_95bpm,basic_groove,4.49,11,2.4498886414253898,KD,0.04,global,4,3,0,0.5714285714285714,1.0,0.7272727272727273,18.833249999999914,15.666500000000028,37.9249999999997
TEST,test_basic_groove_000070_95bpm,basic_groove,4.49,11,2.4498886414253898,SD,0.04,global,3,1,1,0.75,0.75,0.75,35.41666666666669,31.167000000000055,41.8334
TEST,test_basic_groove_000070_95bpm,basic_groove,4.49,11,2.4498886414253898,T12,0.04,global,1,0,0,1.0,1.0,1.0,0.49999999999994493,0.49999999999994493,0.49999999999994493
TEST,test_basic_groove_000070_95bpm,basic_groove,4.49,11,2.4498886414253898,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000070_95bpm,basic_groove,4.49,11,2.4498886414253898,T16,0.04,global,1,0,0,1.0,1.0,1.0,34.08299999999986,34.08299999999986,34.08299999999986
