threshold_mode,track_id,profile,duration_sec,event_density_per_sec,TP,FP,FN,precision,recall,f1
global,test_humanized_mixed_000180_142bpm,humanized_mixed,3.66,3.0054644808743167,4,1,7,0.8,0.36363636363636365,0.5000000000000001
global,test_fill_heavy_000090_107bpm,fill_heavy,4.16,3.605769230769231,9,11,6,0.45,0.6,0.5142857142857143
global,test_fast_dense_000522_166bpm,fast_dense,3.42,4.678362573099415,8,7,8,0.5333333333333333,0.5,0.5161290322580646
global,test_fast_dense_000987_186bpm,fast_dense,3.27,4.587155963302752,8,8,7,0.5,0.5333333333333333,0.5161290322580646
global,test_fill_heavy_000210_114bpm,fill_heavy,4.02,3.73134328358209,8,8,7,0.5,0.5333333333333333,0.5161290322580646
global,test_fill_heavy_001131_114bpm,fill_heavy,4.07,3.4398034398034394,8,9,6,0.47058823529411764,0.5714285714285714,0.5161290322580646
global,test_fill_heavy_001177_126bpm,fill_heavy,3.88,3.865979381443299,8,8,7,0.5,0.5333333333333333,0.5161290322580646
global,test_humanized_mixed_000582_133bpm,humanized_mixed,3.66,3.278688524590164,8,11,4,0.42105263157894735,0.6666666666666666,0.5161290322580646
global,test_standard_rock_000854_135bpm,standard_rock,3.53,3.3994334277620397,8,11,4,0.42105263157894735,0.6666666666666666,0.5161290322580646
global,test_basic_groove_000515_92bpm,basic_groove,3.93,2.544529262086514,7,10,3,0.4117647058823529,0.7,0.5185185185185185
global,test_fast_dense_001077_186bpm,fast_dense,3.13,3.5143769968051117,7,9,4,0.4375,0.6363636363636364,0.5185185185185185
global,test_humanized_mixed_001093_138bpm,humanized_mixed,3.71,2.964959568733154,7,9,4,0.4375,0.6363636363636364,0.5185185185185185
global,test_basic_groove_000217_96bpm,basic_groove,3.85,3.116883116883117,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
global,test_fast_dense_000683_183bpm,fast_dense,3.28,4.2682926829268295,7,6,7,0.5384615384615384,0.5,0.5185185185185186
global,test_fast_dense_000757_147bpm,fast_dense,3.34,3.8922155688622757,7,7,6,0.5,0.5384615384615384,0.5185185185185186
global,test_fast_dense_000877_190bpm,fast_dense,3.08,4.220779220779221,7,7,6,0.5,0.5384615384615384,0.5185185185185186
global,test_fill_heavy_000331_127bpm,fill_heavy,3.87,3.875968992248062,7,5,8,0.5833333333333334,0.4666666666666667,0.5185185185185186
global,test_fill_heavy_000809_95bpm,fill_heavy,4.49,2.6726057906458798,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
global,test_humanized_mixed_000225_122bpm,humanized_mixed,3.95,3.0379746835443036,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
global,test_humanized_mixed_000249_148bpm,humanized_mixed,3.59,3.6211699164345403,7,7,6,0.5,0.5384615384615384,0.5185185185185186
global,test_humanized_mixed_000291_127bpm,humanized_mixed,3.81,3.674540682414698,7,6,7,0.5384615384615384,0.5,0.5185185185185186
global,test_humanized_mixed_000543_122bpm,humanized_mixed,3.94,3.553299492385787,7,6,7,0.5384615384615384,0.5,0.5185185185185186
global,test_humanized_mixed_001171_118bpm,humanized_mixed,4.01,3.491271820448878,7,6,7,0.5384615384615384,0.5,0.5185185185185186
global,test_standard_rock_000383_117bpm,standard_rock,3.9,3.076923076923077,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
global,test_standard_rock_000471_100bpm,standard_rock,4.16,2.8846153846153846,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
